person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
1;2.5;3.5;2.77;2.8;2.58;2.0;4.1;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2.67;3.25;3.0;2.6;2.75;2.2;4.0;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2.67;2.58;3.15;2.4;2.67;4.4;3.2;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2.33;2.5;2.0;2.4;2.42;2.2;4.3;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3.67;3.42;3.08;4.2;3.67;2.0;3.9;3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;3.58;3.08;2.46;3.4;2.83;1.6;4.2;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2.92;4.08;2.77;2.6;2.75;4.2;2.8;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4.0;2.67;1.69;3.0;2.75;2.8;3.8;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;3.42;2.67;3.0;3.4;2.67;3.6;4.0;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;4.0;1.42;2.62;3.4;2.75;2.4;3.2;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
