				Old Max scale 		Neuroticism			New Maximizing scale		
				Subscale 	Subscale 	Scale 	Subscale 	Subscale 	Subscale 	Subscale 	Subscale 
Antwort ID	IP	Start time	End time	Max	Regret 	Neurotizismus	Negative Affect	Self-Reproach	Satis?cing	Decision Dif?culty	Alternative Search
1	89.206.90.187	2015-12-03 06:39:16	2015-12-03 06:51:04	2.77	2	2.58	2.8	2.43	4.1	3.50	2.50
4	130.60.69.150	2015-12-03 06:52:07	2015-12-03 07:05:29	3.00	2.2	2.75	2.6	2.86	4	3.25	2.67
5	46.127.210.170	2015-12-03 06:52:33	2015-12-03 07:03:31	3.15	4.4	2.67	2.4	2.86	3.2	2.58	2.67
7	80.169.96.182	2015-12-03 07:04:28	2015-12-03 07:13:24	2.00	2.2	2.42	2.4	2.43	4.3	2.50	2.33
8	89.206.90.45	2015-12-03 07:16:13	2015-12-03 07:25:20	3.08	2	3.67	4.2	3.29	3.9	3.42	3.67
10	89.206.91.157	2015-12-03 07:33:31	2015-12-03 07:44:20	2.46	1.6	2.83	3.4	2.43	4.2	3.08	3.58
13	178.39.201.154	2015-12-03 10:48:17	2015-12-03 10:59:41	2.77	4.2	2.75	2.6	2.86	2.8	4.08	2.92
15	62.2.211.198	2015-12-03 11:18:11	2015-12-03 11:26:39	1.69	2.8	2.75	3	2.57	3.8	2.67	4.00
17	84.75.172.81	2015-12-03 11:35:26	2015-12-03 11:52:20	3.00	3.6	2.67	3.4	2.14	4	2.67	3.42
19	178.197.224.132	2015-12-03 11:59:01	2015-12-03 12:25:31	2.62	2.4	2.75	3.4	2.29	3.2	1.42	4.00
20	178.39.135.6	2015-12-03 13:07:43	2015-12-03 13:34:43	2.15	2.2	3.08	3.4	2.86	4.1	2.75	2.92
22	89.206.93.175	2015-12-04 01:29:03	2015-12-04 01:43:29	3.46	4.6	3.08	3.4	2.86	3.5	4.25	3.42
24	178.192.253.94	2015-12-04 04:26:57	2015-12-04 04:33:51	3.69	4.2	2.92	3.2	2.71	3.7	3.25	3.50
25	31.10.151.187	2015-12-04 04:38:44	2015-12-04 04:44:53	2.23	1.4	2.67	3.4	2.14	4	1.17	2.83
27	85.7.61.128	2015-12-04 05:04:27	2015-12-04 05:11:42	2.23	2.6	2.50	2.8	2.29	4.2	2.17	1.75
28	213.55.184.253	2015-12-04 05:06:31	2015-12-04 05:19:05	2.31	1.2	3.00	3.4	2.71	3.4	1.83	3.58
