person_id,ALTSEARCH,DECDIFF,MAX,NEGAFFECT,NEURO,REGRET,SATISF,SELFREPR,t_quest_max,t_quest_min,t_quest_mean,t_quest_std,nr_abandons,nr_scroll,nr_items_scroll,nr_revisit,nr_correct_within_item,nr_correct_between_item,inter_item_interval_max,inter_item_interval_min,inter_item_interval_mean,inter_item_interval_std,time_click_max,time_click_min,time_click_mean,time_click_std,nr_pauses,t_pauses_max,t_pauses_min,t_pauses_mean,t_pauses_std,a_max,a_min,a_mean,a_std,jerk_max,jerk_min,jerk_mean,jerk_std,vt_max,vt_min,vt_mean,vt_std,vx_max,vx_min,vx_mean,vx_std,vy_max,vy_min,vy_mean,vy_std,angles_max,angles_min,angles_mean,angles_std,curvatures_max,curvatures_min,curvatures_mean,curvatures_std,jitter,l_strokes_max,l_strokes_min,l_strokes_mean,l_strokes_std,s,straightness_max,straightness_min,straightness_mean,straightness_std,var_curvatures_max,var_curvatures_min,var_curvatures_mean,var_curvatures_std,w_max,w_min,w_mean,w_std
1,2.5,3.5,2.77,2.8,2.58,2,4.1,2.43,22.181,0.155,6.1696774194,4.8336426349,0,1,8,8,3,0,12.979,0.541,2.9835714286,2.5958222768,0.012,0.005,0.0073333333,0.0019840635,2.1111111111,10.532,1.138,3.7675405405,2.2591914913,131857.367753112,-114572.949549968,-2.96688041019064E-011,4060.2436647077,14650818.6392572,-27381146.3669647,5.08027955333953E-009,617215.746247847,2826.1244993282,0.0171784481,36.0824163487,140.7154505459,2510.8074364484,1.26318708579569E-011,29.9447957437,118.3972766058,2494.8611866802,6.31593542897843E-012,12.6255793701,77.645139176,4.3606497204,-17.6111222859,-7.2132321745,5.1826138855,2.0873782117,-10.8166495081,-0.003942576,0.1776506505,0.9636173768,826.699772151,8.9623502731,177.3912926889,187.4167932953,7120.1901731605,1,0.1015068989,0.8243365591,0.2362488268,184.5131549982,-16.6888550826,0.0244353406,2.2233459159,2.9102482271,-30.0236668054,-0.1083840207,0.9034176039
4,2.67,3.25,3,2.6,2.75,2.2,4,2.86,24.751,0.102,5.7256666667,6.6003393964,1,5,14,30,2,0,22.253,0.36,4.6822105263,6.4520636974,0.112,0.094,0.09925,0.0074624058,2.6666666667,20.43,1.055,5.4126956522,4.8348373646,12928930.9897925,-13045473.2707012,2.31893630320912E-009,52065.7160105125,13045473270.639,-25974404261.1079,-3.51984595334835E-006,80173962.7949724,15635.0718739746,0.0295001882,37.514455492,230.1579246705,13960.5481573986,0.000103169,31.1397700963,191.8145526602,15429.3871679871,5.68434188609405E-011,11.9877855818,128.3502620273,25.5958382758,-3.7405977956,13.6429418019,8.2881478403,6.3823738282,-6.4179936425,0.0007419494,0.1580775766,0.9741700892,1154.7950931587,5,300.6588797148,297.0316708582,14013.75336124,1,0.0622092625,0.7224521026,0.3150484058,65.8339734312,-29.7201938015,0.0026341666,0.7848523627,140.0815983785,-5.1051728973,0.1476923366,2.5753262686
5,2.67,2.58,3.15,2.4,2.67,4.4,3.2,2.86,21.219,0.106,5.38965625,4.6729280075,0,2,10,9,3,0,4.369,0.383,0.771,0.8258835384,0.152,0.136,0.1389047619,0.0033792752,1.2222222222,18.767,1.672,5.6817142857,3.5798815908,6892458.33356501,-6226496.0178087,5.67051741742422E-011,47026.074408399,6892458295.29331,-6892458333.63005,-3.51132802610675E-007,67909449.2437308,7043.5253492115,0.1570631975,48.232525181,235.4900446342,6634.7960908897,1.13686837721881E-010,39.1527641068,191.8165730083,3766.9536389571,0.0017213549,19.5154851529,138.1106325688,3.5730583811,-19.6547340539,-7.7381738776,5.7176771363,8.3053572679,-11.4073609079,-0.0004452638,0.2509220584,0.9408676225,1044.3151169825,33,363.8744721313,265.6329775356,9378.0947004029,1,0.1293400517,0.5901220024,0.2758426284,69.8506297305,-58.1716912876,-0.0056006953,1.7574521399,5.0716774073,-48.9346026778,-0.0802285317,0.822768601
7,2.33,2.5,2,2.4,2.42,2.2,4.3,2.43,13.945,0.152,3.7067368421,3.8284245123,0,2,6,14,5,0,9.641,0.345,1.427173913,2.0656850564,0.138,0.067,0.1024782609,0.0109895981,1.1666666667,9.493,1.457,4.0755,1.8154706415,1147995.12513566,-695221.219716776,1.10560845952841E-010,15173.2951617707,172219347.984361,-229599025.027132,-3.91058557737256E-008,3930728.09016706,8103.3097551526,0.4492517653,55.3409586939,238.5593681644,7175.7124150888,0.0002824139,42.2012893839,208.0474720588,3764.6753278194,0.0004615307,23.306923834,119.8552530924,-2.4678414008,-52.2047696687,-26.7914511862,14.7637076238,6.1840029838,-7.2295496684,-0.004211162,0.2302381817,0.9455024822,1089.5548539195,52.6685308572,377.2000407364,284.1678614115,8159.6257881021,0.9791786557,0.0327279426,0.4925357825,0.3609443252,71.467503209,-51.0676627073,0.0010060651,1.1353221884,-0.0004413557,-78.0073487652,-0.2743429597,1.9739947297
8,3.67,3.42,3.08,4.2,3.67,2,3.9,3.29,11.863,0.115,3.6509032258,2.8150625084,0,1,5,3,7,1,11.314,0.284,2.8508076923,2.34114658,0.157,0.067,0.1065384615,0.0197313315,1.4444444444,8.061,1.13,2.6759230769,1.4020182409,19754221.3882664,-21124318.2144324,6.47007100368115E-010,110100.806705067,21124318214.6313,-21124318207.127,-2.8065896102493E-007,156254372.871233,23005.913559027,0.0277444206,54.6440834663,271.3109161901,22572.7947394506,1.13686837721477E-010,44.4577963382,232.903987716,6901.3399116607,4.1942712414111E-005,19.9142494323,141.3444325825,12.3002873606,-28.3360884053,-12.8865662182,10.3149052206,11.2895092019,-7.0025333245,-0.0013294141,0.2569088302,0.9084256956,1089.7144566883,14,230.9850184899,237.688216491,7269.2611561766,1,0.0736806529,0.6161290311,0.3387555094,80.4013313821,-144.9929467863,-0.0132591776,2.2173893322,14.5859910706,-69.0978544556,-0.115693885,1.2650811046
10,3.58,3.08,2.46,3.4,2.83,1.6,4.2,2.43,13.932,0.103,4.2677948718,4.1062270672,0,3,18,15,2,0,4.511,0.388,1.20985,1.0760170665,0.009,0.006,0.0072,0.0008717798,1.7222222222,11.815,1.054,4.0205,2.600098277,227927.455056655,-317048.374255271,-1.36493951458641E-011,6099.7780107108,39631046.7818605,-56536073.5818892,4.20601404797062E-009,1034149.04579948,5720.8805940393,0.4681936821,39.1315308916,200.8373170487,3370.4434012877,1.42108547152099E-011,28.9735525065,131.4997527205,4622.6167967907,0.015059819,18.3961898047,152.9602337848,10.2347873824,-10.6150866777,-1.8616296773,5.7792294976,3.936303497,-3.202686046,-1.44118063473586E-005,0.1642670847,0.9179986622,1064.5459527331,11,210.8204410261,210.3060028946,7362.8646422915,1,0.0558394902,0.7452548306,0.3182264066,11.8748711231,-50.4722375996,-0.0117614873,0.9440059773,10.2674535723,-23.6854271449,-0.0043752556,0.5237317443
13,2.92,4.08,2.77,2.6,2.75,4.2,2.8,2.86,24.779,0.324,5.0344230769,5.2244375198,2,2,15,2,4,0,27.932,0.497,3.1181818182,5.6282384749,0.19,0.156,0.1701818182,0.0116214393,1.6666666667,30.753,1.438,5.2126551724,6.5525846086,3037363.16334314,-2508847.24343282,-1.11665026535594E-011,28969.826264193,1012454387.77628,-1463370654.8808,-1.34137992311866E-009,13716562.0862913,14378.3330416048,0.3985401812,49.960526195,281.5007143759,8463.511774146,0.0136887471,42.851854167,227.7103958306,14293.6217361599,2.40276184134312E-005,16.911963306,166.6264867722,12.6767808513,-33.1556604345,-11.1409170868,13.8376182358,3.973865988,-4.7555673475,-0.0024269104,0.1520650263,0.96294196,1613.8164472703,55.8046593278,320.5196605671,326.2844763827,10163.2275790687,0.9991382631,0.0740917857,0.6560319701,0.3225153552,27.5861783092,-16.7481947418,3.76803601523109E-005,0.4331387158,22.115170404,-41.1471039674,-0.0589589157,0.8375455363
15,4,2.67,1.69,3,2.75,2.8,3.8,2.57,12.397,0.103,3.3965128205,3.472297022,0,2,8,17,3,0,1.962,0.291,0.6131904762,0.3697407868,0.182,0.12,0.149952381,0.0155271688,1.3333333333,9.339,1.278,3.2089130435,1.7154726542,6313603.97785257,-6606679.64937155,-1.14460443700532E-009,73786.1377008856,6606679649.52778,-6606679544.49346,2.23501985654599E-007,104430947.18021,8833.0139559672,0.3913501147,80.2827242019,298.2246323845,7848.7024933697,9.22447043190148E-005,71.1382777969,278.9474142579,4959.9668822913,5.68434188605366E-011,23.722774125,109.3076514471,16.7984132631,-16.3183871524,-1.0211365525,7.39003095,3.5235218677,-3.4886425813,-0.0022775319,0.2171682837,0.9626212095,1238.0598889041,17,468.5640714374,290.9223531004,10777.2504825761,1,0.061941775,0.3249630832,0.3258115901,39.7723335648,-13.1753185102,0.0031862958,0.5494271151,19.3688069057,-18.9636986497,5.93018915999009E-005,0.4804746194
17,3.42,2.67,3,3.4,2.67,3.6,4,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,1.42,2.62,3.4,2.75,2.4,3.2,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
