person_id,ALTSEARCH,DECDIFF,MAX,NEGAFFECT,NEURO,REGRET,SATISF,SELFREPR,t_quest_max,t_quest_min,t_quest_mean,t_quest_std,nr_abandons,nr_scroll,nr_items_scroll,nr_revisit,nr_correct_within_item,nr_correct_between_item,inter_item_interval_max,inter_item_interval_min,inter_item_interval_mean,inter_item_interval_std,time_click_max,time_click_min,time_click_mean,time_click_std,nr_pauses,t_pauses_max,t_pauses_min,t_pauses_mean,t_pauses_std,a_max,a_min,a_mean,a_std,jerk_max,jerk_min,jerk_mean,jerk_std,vt_max,vt_min,vt_mean,vt_std,vx_max,vx_min,vx_mean,vx_std,vy_max,vy_min,vy_mean,vy_std,angles_max,angles_min,angles_mean,angles_std,curvatures_max,curvatures_min,curvatures_mean,curvatures_std,jitter,l_strokes_max,l_strokes_min,l_strokes_mean,l_strokes_std,s,straightness_max,straightness_min,straightness_mean,straightness_std,var_curvatures_max,var_curvatures_min,var_curvatures_mean,var_curvatures_std,w_max,w_min,w_mean,w_std
1,2.5,3.5,2.77,2.8,2.58,2,4.1,2.43,22.181,0.155,6.1696774194,4.8336426349,0,1,8,8,3,0,5.203,0.541,2.4476666667,1.3300285831,0.012,0.005,0.0073333333,0.0019840635,2.2222222222,4.566,1.008,2.2340833333,1.0283115172,112496.868237265,-96796.2080929794,-3.1373044166,3972.874114628,12499652.0263426,-23254786.2589519,-32.7713641393,612022.20768711,2756.4184204666,0.1078416008,36.6665871071,140.6188878054,2452.9644305748,0.0008185921,107.8413882352,203.6497193741,2451.7927832406,0,46.4343248944,141.2396799365,4.3380268038,-27.3186255244,-11.0992572691,8.7458767764,6.588638906,-3.4986334108,-0.0024583598,0.1597904375,0.9635641565,828.9914400901,10.860061458,180.3640701759,187.6879236006,7140.3797903092,1,0.0906183691,0.8191991853,0.2369435427,12.4192625414,-43.3892252381,-0.0017449705,0.5948537265,11.7794119818,-204.2424740834,-0.2620314753,3.6318628978
4,2.67,3.25,3,2.6,2.75,2.2,4,2.86,24.751,0.102,5.7256666667,6.6003393964,1,5,14,30,2,0,20.09,0.36,3.5778421053,4.9168268572,0.112,0.094,0.09925,0.0074624058,2.8888888889,6.539,1.004,2.47524,1.3531522392,13448547.4622168,-13565643.4628795,-22.1571451584,55528.0820988655,13565643463.2003,-27014190924.9673,9.8373019525863E-007,85141196.7715741,15926.0603912008,0.0437733497,39.4234675894,255.1159940413,14464.8295961511,0.0001649911,111.0407542939,381.4160668266,15731.3016169962,0,44.0365416097,257.8183361663,12.6246241018,-16.730297532,1.2237522719,7.2391379201,3.0945814466,-8.11794454,-0.0019707377,0.1539508071,0.9741718686,1164.7855615932,6,302.5130231639,294.1767268862,14867.3648797772,1,0.0666865228,0.7208626893,0.3133683564,66.1269163242,-19.0013196226,0.0080495994,0.843147922,135.49547314,-29.3392381483,0.0191555461,1.4383213129
5,2.67,2.58,3.15,2.4,2.67,4.4,3.2,2.86,21.219,0.106,5.38965625,4.6729280075,0,2,10,9,3,0,4.369,0.383,0.771,0.8258835384,0.152,0.136,0.1389047619,0.0033792752,1.3333333333,5.333,1.017,2.2748636364,0.9723168346,6875792.67268051,-6219318.75359923,-8.2967083379,45086.5170650902,6875792634.61352,-6875792672.74539,-9.86114725354256E-007,64123156.0683355,7029.8199834598,0.1259946631,48.6452093911,235.4895016715,6629.3179650424,0.0024837646,144.9785560719,346.3463666142,3764.808264601,2.35570496441836E-006,73.1980802908,258.1792205303,3.5821535864,-18.7006078041,-6.3393433076,4.608462368,7.6822704534,-12.0007344741,-0.0006909105,0.2571458004,0.9408623817,1048.3272149408,35.74832778,368.6151072269,267.5485653018,9468.2790265467,0.9998406294,0.1305476516,0.5875073301,0.2760806877,98.3982090445,-61.8377186611,0.0018853316,1.8913567938,2.2588039813,-70.0335364976,-0.0847391509,1.1341621137
7,2.33,2.5,2,2.4,2.42,2.2,4.3,2.43,13.945,0.152,3.7067368421,3.8284245123,0,2,6,14,5,0,9.641,0.345,1.427173913,2.0656850564,0.138,0.067,0.1024782609,0.0109895981,1.3333333333,11.141,1.246,4.2246470588,2.9234629333,1151572.67841941,-696281.904395861,-0.1328019902,15599.3403389419,172762461.664856,-230314535.683883,-6.14881035466659E-009,4176343.41464569,8120.2288470314,0.1603022051,55.5945734367,238.0050764536,7196.2900333381,0,84.4591033711,287.556523554,3761.8514436697,2.034084900517E-005,47.1846232088,165.6962982704,-2.3926305934,-70.8734702102,-34.5168778536,22.9207622154,4.863678804,-14.449661401,-0.0107591217,0.3060079951,0.94542653,1095.3953213651,56.8215853764,380.3603752405,284.3654836365,8184.8877000861,0.9799727144,0.0416517876,0.4854788498,0.3550877601,269.5663812855,-32.5350807957,0.0673470646,4.3235912486,-0.0004440025,-254.3226119524,-0.4499327819,4.7776893119
8,3.67,3.42,3.08,4.2,3.67,2,3.9,3.29,11.863,0.115,3.6509032258,2.8150625084,0,1,5,3,7,1,11.314,0.284,2.7226923077,2.1921694869,0.157,0.067,0.1065384615,0.0197313315,1.9444444444,10.458,1.016,2.8075238095,2.3806922286,19833416.4596915,-21208183.9569344,-0.0510742441,110348.549997483,21208183956.8336,-21208183773.2884,2.37152424583222E-006,156086669.590679,23081.4606115162,0.0585611448,59.4953684191,277.2383884623,22642.6149099194,0,90.8989687259,327.5857555098,6900.3041915874,0.0004462217,43.8451345472,195.1732077818,7.8539931884,-25.609625367,-9.0075977861,7.9205710055,66.1336354542,-21.0465277637,0.0145033139,1.1465766595,0.9082641093,1092.7937792016,21.0188615159,252.4180074511,236.6368485683,7440.9781293529,1,0.0431471504,0.588526136,0.3417344207,1228.437787493,-6665.4175626155,-1.1013502807,95.4441919159,12.2102084173,-137.0876245657,-0.1065349527,1.8653510649
10,3.58,3.08,2.46,3.4,2.83,1.6,4.2,2.43,13.932,0.103,4.2677948718,4.1062270672,0,3,18,15,2,0,4.511,0.388,1.20985,1.0760170665,0.009,0.006,0.0072,0.0008717798,2,8.275,1.065,3.0456315789,1.9367543716,229219.591566271,-314940.638535416,-2.1614981058,5668.1029499657,39367579.8168789,-56859742.6828853,7.94735268370356E-009,930671.535627123,5655.2159187897,0.1058454755,40.4193876281,201.0108801316,3267.7442220106,0,80.1311810071,207.2525873831,4615.5514066738,0.0022847929,52.142925083,248.8295947852,9.4760963914,-12.9055783063,-1.8460871276,6.0176120322,10.2249374137,-26.788633236,-0.0020773768,0.396172948,0.9180241945,1073.3008471922,11,211.1857637841,211.264983887,7445.6349000485,1,0.0424019824,0.7397114931,0.3148401209,1606.7155567092,-186.1892291265,0.1990967583,19.596045628,72.0924432088,-110.6282826778,-0.0113960715,2.0188004408
13,2.92,4.08,2.77,2.6,2.75,4.2,2.8,2.86,24.779,0.324,5.0344230769,5.2244375198,2,2,15,2,4,0,27.932,0.497,3.1034545455,5.632208712,0.19,0.156,0.1701818182,0.0116214393,1.7222222222,3.026,1.063,1.8538095238,0.6028264079,3019045.24156713,-2494843.36968859,-5.7093586229,28412.4450907543,1006348413.86044,-1444906323.69249,-1.01739440183403E-007,13400631.6464654,14330.7127630566,0.4075378607,50.6416962508,281.8370091618,8450.1441953647,0.0062533251,229.3243503025,482.2347917942,14245.5182221137,0.0001196294,92.3264954197,375.8107574265,12.7202592089,-35.7264309967,-11.6294407042,14.4632903554,3.8229722649,-6.8142672335,-0.004565647,0.1549815647,0.962757381,1664.4258018745,58.7252169864,325.5210663149,333.7214156293,10256.4971448982,0.9982939778,0.0604173831,0.6504972169,0.3200075504,48.0637675456,-14.8223418191,0.0051684424,0.5682584225,19.5233465398,-26.6704541346,-0.0550540567,0.6915316796
15,4,2.67,1.69,3,2.75,2.8,3.8,2.57,12.397,0.103,3.3965128205,3.472297022,0,2,8,17,3,0,1.962,0.291,0.6131904762,0.3697407868,0.182,0.12,0.149952381,0.0155271688,1.5,6.77,1.158,3.0974285714,1.3748041097,6323383.89401703,-6619745.77622868,-0.1354221409,73980.8254389602,6619745776.19707,-6619745671.17772,-3.79783770270779E-006,104799110.864331,8842.5690504769,0.1199915181,80.547563117,298.0303198939,7924.0214839718,2.40452209253579E-005,148.0419395761,387.6188348643,4890.7737516049,0,49.6763347937,153.0227180044,12.9954138467,-23.5247610463,-3.4482912022,8.9813362147,5.2926672797,-3.4900219787,-0.0006244039,0.2281898886,0.9625894002,1245.080670052,19,470.7425322304,291.630308023,10800.5953968352,1,0.058952222,0.3245903191,0.3257199266,11.0881139478,-36.01889316,-0.0059667398,0.5966459963,36.0261770869,-108.1412340113,-0.0307520139,1.5825662737
22,3.42,4.25,3.46,3.4,3.08,4.6,3.5,2.86,25.72,0.127,7.2904,7.2124721587,0,7,16,10,2,0,8.711,0.641,1.6877,1.8689211353,0.387,0.238,0.3008,0.0424977646,1.7777777778,2.953,1.093,1.83036,0.4995762108,1252812.56730919,-2874954.61407194,-7.7873082067,19605.4690014458,718738653.356548,-718738653.514553,1.75122820357681E-007,6655945.99409718,12115.0093726392,0.0684025887,33.1015812621,237.5172090525,5804.1024223228,0.002258874,133.4398655724,338.4410165249,11980.877530061,0,96.4619740166,430.2768382634,10.178779711,-9.6719820495,0.4258554658,4.5818056576,11.3215310247,-7.2737156616,0.0008570169,0.2130637579,0.9600971883,1138.4891408396,18.5212610923,266.0502213935,251.8151548182,8757.4279446,0.9980056023,0.0662665459,0.6027486594,0.3098139734,54.1209962537,-208.8034131339,-0.0164116195,2.3473016276,24.9339449189,-28.4249487457,0.0121956771,0.6901186232
24,3.5,3.25,3.69,3.2,2.92,4.2,3.7,2.71,10.149,0.105,3.5149142857,2.912178079,0,1,9,12,1,0,4.397,0.266,1.2056315789,1.0095784535,0.164,0.045,0.0993684211,0.0274345355,1.7222222222,6.134,1.184,2.9704,1.5814774864,23623901.581944,-20510981.2217412,-14.6986824655,149426.341653758,23623901581.944,-26021121805.4931,-9.28563656505198E-007,218705621.934106,25328.344020775,0.227654386,83.8623155178,372.3039612529,20403.2372733084,5.7937086239825E-006,180.9059195809,481.8700770812,15007.7619785166,0.00003787,57.8843808742,299.2268495477,52.1926617857,2.4866745004,28.7957651994,11.8537313414,27.9472916841,-7.100956016,0.0082065761,0.3413158838,0.8715246614,1494.1465942921,9.1947401439,386.7882258511,315.1579436682,11234.0859173338,0.9999156505,0.0470442053,0.6557251925,0.3469991334,67.2662339768,-842.0245609787,-0.0765950163,8.3146070693,377.79827787,9.35305543849769E-005,0.2596303376,4.3859254875
